intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
Marketing,Recrivio,Actively hiring,Workfromhome,,10000.0,,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-marketing-internship-at-recrivio1749789171
Content and Social Media Marketing Manager,QURVII,,Noida,,22000.0,3,3 weeks ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-manager-internship-in-noida-at-qurvii1749788823
Market Research,Tech Analogy,Actively hiring,Workfromhome,,3000.0,3,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-market-research-internship-at-tech-analogy1749788664
Travel Growth Partner,Aliferous Trips,,Workfromhome,,6000.0,6,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-travel-growth-partner-internship-at-aliferous-trips1749788556
Content Creator,Confluencr,Actively hiring,Bangalore,,12000.0,3,3 weeks ago,,https://internshala.com/internship/detail/content-creator-internship-in-bangalore-at-confluencr1749788503
Digital Marketing Manager,Aone Ad,,Workfromhome,,1500.0,3,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-digital-marketing-manager-internship-at-aone-ad1749788471
Human Resources (HR),8Views,Actively hiring,Hyderabad,,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-hyderabad-at-8views1749788307
Sales Consultant,The OmniJobs,,Workfromhome,₹ 3,8000.0,3,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-sales-consultant-internship-at-the-omnijobs1749788340
Video Editing/Making,Nextsolutions.in,Actively hiring,Workfromhome,,25000.0,6,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-nextsolutionsin1749788093
Business Development (Sales),Expert Right,Actively hiring,Workfromhome,₹ 3,10000.0,6,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-expert-right1749787516
Sales and Marketing,Reshu And Realty,,Bangalore,₹ 6,110000.0,3,3 weeks ago,,https://internshala.com/internship/detail/part-time-sales-and-marketing-internship-in-bangalore-at-reshu-and-realty1749787484
Marketing & Hospitality Coordinator,Whiskoria,Actively hiring,Pune,₹ 2.2,2000.0,3,3 weeks ago,,https://internshala.com/internship/detail/marketing-hospitality-intern-internship-in-pune-at-whiskoria1749787276
Social Media Marketing,Priyam IT Services Private Limited,,Pune,,7000.0,3,3 weeks ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-pune-at-priyam-it-services-private-limited1749755846
Graphic Design,Satlaa Jewel Private Limited,Actively hiring,Workfromhome,,15000.0,3,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-graphic-design-internship-at-satlaa-jewel-private-limited1749754273
Graphic Design,Big Internet E-commerce Private Limited,Actively hiring,Workfromhome,,8000.0,3,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-graphic-design-internship-at-big-internet-e-commerce-private-limited1749759877
Equity Analyst,ANG Capital Services Private Limited,,Workfromhome,₹ 6,10002.0,5,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-equity-analyst-internship-at-ang-capital-services-private-limited1749751523
Motion Graphics,Big Internet E-commerce Private Limited,Actively hiring,Workfromhome,,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-motion-graphics-internship-at-big-internet-e-commerce-private-limited1749758575
Project Management,Big Internet E-commerce Private Limited,Actively hiring,Workfromhome,,10000.0,,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-project-management-internship-at-big-internet-e-commerce-private-limited1749758515
Teaching Sociology,Unimonks,,Delhi,,14000.0,4,3 weeks ago,,https://internshala.com/internship/detail/teaching-sociology-internship-in-delhi-at-unimonks1749756387
Sales and Marketing,QUDE,,"Kolkata,Hooghly,Howrah,Sonarpur,Maheshtala",₹ 6,5000.0,2,3 weeks ago,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-multiple-locations-at-qude1749741411
Social Media Marketing,TrustTheChild Montessori School,Actively hiring,Chennai,,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-chennai-at-trustthechild-montessori-school1749736682
Hotel Management(Chef),Theobroma Foods Private Limited,,Mumbai,,5000.0,6,3 weeks ago,,https://internshala.com/internship/detail/hotel-managementchef-internship-in-mumbai-at-theobroma-foods-private-limited1749735667
Social Media Marketing,Grow Keys Media,,Pune,,10000.0,6,3 weeks ago,,https://internshala.com/internship/detail/social-media-marketing-internship-in-pune-at-grow-keys-media1749730335
Graphic Design,Innoplexus Consulting Services Private Limited,,Pune,,15000.0,6,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/graphic-design-internship-in-pune-at-innoplexus-consulting-services-private-limited1749729827
Content Writing,Impulse Digital,,Thane,,6000.0,3,3 weeks ago,,https://internshala.com/internship/detail/content-writing-internship-in-thane-at-impulse-digital1749729707
Business Development (Sales),Special You,,Delhi,,12000.0,3,3 weeks ago,,https://internshala.com/internship/detail/part-time-business-development-sales-internship-in-delhi-at-special-you1749729508
Business Development (Sales),Wordstag,,Ahmedabad,,12000.0,2,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-ahmedabad-at-wordstag1749728112
Graphic Designer,Realm Incorporated,,Mumbai,,12000.0,3,3 weeks ago,,https://internshala.com/internship/detail/graphic-designer-internship-in-mumbai-at-realm-incorporated1749734875
Sales and Marketing,Pentagon Steel Engineering LLP,,"Thane,Mumbai",,20000.0,2,3 weeks ago,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-multiple-locations-at-pentagon-steel-engineering-llp1749727424
Content and Social Media Marketing,Rimigo,Actively hiring,Bangalore,,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-bangalore-at-rimigo1749734312
Marketing,Sankey Business Solutions Private Limited,,Thane,,15000.0,3,3 weeks ago,,https://internshala.com/internship/detail/marketing-internship-in-thane-at-sankey-business-solutions-private-limited1749734219
Content and Social Media Marketing,SoBr Digital,,Chennai,,7500.0,3,3 weeks ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-chennai-at-sobr-digital1749733125
Marketing,Inventravel,,Mumbai,,7000.0,3,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-inventravel1749733071
Business Development (Sales),URBAN PGM,Actively hiring,Gurgaon,,15000.0,3,3 weeks ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-gurgaon-at-urban-pgm1749732875
Business Development Outreach,SoDo,,Workfromhome,,10000.0,4,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-business-development-outreach-internship-at-sodo1749732369
Search Engine Optimization (SEO),Decode Growth,,Delhi,,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-delhi-at-decode-growth1749732311
Graphic Design,Orufy Technologies,,Jaipur,,10000.0,6,3 weeks ago,,https://internshala.com/internship/detail/graphic-design-internship-in-jaipur-at-orufy-technologies1749732260
Customer Service/Customer Support,Zira Studioz,,Coimbatore,,5000.0,4,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-coimbatore-at-zira-studioz-pvt-ltd1749732217
Business Development (Sales),IMS Proschool,,Bangalore,,30000.0,3,3 weeks ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-ims-proschool1749732113
Data Entry,Big Data Trunk,Actively hiring,Workfromhome,,2500.0,6,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-data-entry-internship-at-big-data-trunk1749724882
Inside Sales,SMSCloud Hub,Actively hiring,Ahmedabad,,10000.0,6,3 weeks ago,,https://internshala.com/internship/detail/inside-sales-internship-in-ahmedabad-at-smscloud-hub1749732067
Client Interaction And Analysis,Budding Mariners,Actively hiring,Workfromhome,,4000.0,4,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-client-interaction-and-analysis-internship-at-budding-mariners1749732024
Business Development (Sales),Recircle,,Mumbai,,8000.0,3,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-recircle1749732016
Computer Vision (Image Processing),Senso Vision System,Actively hiring,Bangalore,₹ 6,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/computer-vision-image-processing-internship-in-bangalore-at-senso-vision-system1749731961
Market Research,Mosaic Wellness,Actively hiring,Thane,,15000.0,6,3 weeks ago,,https://internshala.com/internship/detail/market-research-internship-in-thane-at-mosaic-wellness1749731978
"Content Creator For Java, Python, MySql, Cyber Security Using Canva",GreyLearn,Actively hiring,Workfromhome,,8000.0,3,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-content-creator-for-java-python-mysql-cyber-security-using-canva-internship-at-greylearn1749731819
E-Commerce Catalog Management,Girdhari Shop,,Howrah,₹ 3.6,12000.0,6,3 weeks ago,,https://internshala.com/internship/detail/e-commerce-catalog-management-internship-in-howrah-at-girdhari-shop1749724566
Strategy & Thinking Assistant,Tech Tool Wale,,"Mangalore,Malappuram",,3000.0,3,3 weeks ago,,https://internshala.com/internship/detail/part-time-strategy-thinking-assistant-internship-in-multiple-locations-at-tech-tool-wale1749731804
Content and Social Media Marketing,Dalchinii Livin Pvt Ltd,Actively hiring,Mumbai,,12000.0,6,3 weeks ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-mumbai-at-dalchinii-livin-pvt-ltd1749731703
Management Trainee (Business Operations & Communication),Yogaamie,Actively hiring,Pune,,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/management-trainee-business-operations-communication-internship-in-pune-at-yogaamie1749731648
Digital Marketing,Faculty Training Program,,Jaipur,₹ 5,10000.0,6,3 weeks ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-jaipur-at-faculty-training-program1749731603
Video Editing/Making,E-StudyPal,,Pune,,12000.0,4,3 weeks ago,,https://internshala.com/internship/detail/part-time-video-editing-making-internship-in-pune-at-e-studypal1749724295
Creative Design,I Do Weddings And Occasions,,Bangalore,,10000.0,4,3 weeks ago,,https://internshala.com/internship/detail/creative-design-internship-in-bangalore-at-i-do-weddings-and-occasions1749731187
Business Development (Sales),Laser Gases,Actively hiring,Workfromhome,₹ 2.5,15000.0,2,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-laser-gases1749731118
Content Writing,Baweja Media,Actively hiring,Workfromhome,,8000.0,6,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-content-writing-internship-at-baweja-media1749730961
Graphic Design,Nixa Branding Solutions,,Hyderabad,,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/graphic-design-internship-in-hyderabad-at-nixa-branding-solutions1749730801
Business Development (Sales),Logic AI Solution,,Indore,,16000.0,6,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-indore-at-logic-ai-solution1749730795
Business Development (Field),BULA,,Jaipur,,12000.0,3,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/part-time-business-development-field-internship-in-jaipur-at-bula1749730509
Electrical Engineering,Emtec Solutions,,Gandhinagar,,10000.0,5,3 weeks ago,,https://internshala.com/internship/detail/electrical-engineering-internship-in-gandhinagar-at-emtec-solutions1749730265
Video Editing/Making,Quantum Marketing,Actively hiring,Workfromhome,,12000.0,2,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-video-editing-making-internship-at-quantum-marketing1749729773
Data Automation,Stanza Shipping (India) Private Limited,Actively hiring,Delhi,,10000.0,3,3 weeks ago,,https://internshala.com/internship/detail/data-automation-internship-in-delhi-at-stanza-shipping-india-private-limited1749729529
Field Sales,Dhwani Aurica Private Limited,Actively hiring,Workfromhome,,11500.0,,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-field-sales-internship-at-dhwani-aurica-private-limited1749729371
Video Editing/Making,Insane Marketers,,Bangalore,,15000.0,3,3 weeks ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-bangalore-at-insane-marketers1749729293
Business Development (Sales) Manager,MiStay,,Bangalore,,5000.0,3,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-manager-internship-in-bangalore-at-mistay1749729286
Finance & Accounting,Magicrete Building Solutions Private Limited,,Surat,,5010.0,2,3 weeks ago,,https://internshala.com/internship/detail/finance-accounting-internship-in-surat-at-magicrete-building-solutions-private-limited1749721887
Content and Social Media Marketing,Mosaic Wellness,,Thane,,18000.0,3,3 weeks ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-thane-at-mosaic-wellness1749721846
Marketing,Punya Publishing Private Limited,Actively hiring,Workfromhome,₹ 2,5000.0,5,3 weeks ago,,https://internshala.com/internship/detail/work-from-home-part-time-marketing-internship-at-punya-publishing-private-limited1749729040
Accounting & Taxation,Amacc Business Solutions Private Limited,Actively hiring,Hyderabad,,8001.0,3,3 weeks ago,,https://internshala.com/internship/detail/accounting-taxation-internship-in-hyderabad-at-amacc-business-solutions-private-limited1749728986
Content Writing,Potli Ventures Private Limited,Actively hiring,Gurgaon,,15000.0,2,3 weeks ago,,https://internshala.com/internship/detail/content-writing-internship-in-gurgaon-at-potli-ventures-private-limited1749728954
Artificial Intelligence (AI),PlanCover,Actively hiring,Gurgaon,₹ 6,45000.0,6,3 weeks ago,,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-gurgaon-at-plancover1749728487
