,intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
1509,Digital Marketing,VHarmony Media,,Hyderabad,,"5,000 - 7,000",2,5 days ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-hyderabad-at-vharmony-media1750234876
1510,Accounting & Taxation,Digital Factorys,,Pimpri-Chinchwad,,,6,5 days ago,,https://internshala.com/internship/detail/accounting-taxation-internship-in-pimpri-chinchwad-at-digital-factorys1750227624
1511,Mobile App Development,Gaurav Tomar,Actively hiring,Workfromhome,,"5,000 - 7,000",2,5 days ago,,https://internshala.com/internship/detail/work-from-home-mobile-app-development-internship-at-gaurav-tomar1750231341
1512,Human Resources (HR),Jainam Jivika Foundation,Actively hiring,Pune,,"5,000 - 15,000",3,5 days ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-jainam-jivika-foundation1750234066
1513,Business Development (Sales),White Elephant Media,,Workfromhome,,"4,000 - 6,000",3,5 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-white-elephant-media1750234040
1514,Product Marketing,Zago Tours,Actively hiring,Workfromhome,,70 - 100,3,5 days ago,,https://internshala.com/internship/detail/work-from-home-product-marketing-internship-at-zago-tours1750233987
1515,Sales,BabyCloud,,Aurangabad,,"2,000 - 4,000",3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/sales-internship-in-aurangabad-at-babycloud1750233929
1516,Influencer Marketing,Marqeting,,Delhi,,"8,000 - 10,000",3,5 days ago,,https://internshala.com/internship/detail/influencer-marketing-internship-in-delhi-at-marqeting1750233890
1517,Content and Social Media Marketing,Puja Gupta,,Kanpur,,"5,000 - 8,000",2,5 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-content-and-social-media-marketing-internship-in-kanpur-at-puja-gupta1750233800
1518,Automation Testing,Ziegler Aerospace,Actively hiring,Hyderabad,₹ 2,"8,000 - 10,000",6,5 days ago,,https://internshala.com/internship/detail/automation-testing-internship-in-hyderabad-at-ziegler-aerospace1750233752
1519,Accounting & Taxation,Global Startup Summit,Actively hiring,Mumbai,,"9,000 - 9,500",3,5 days ago,,https://internshala.com/internship/detail/accounting-taxation-internship-in-mumbai-at-global-startup-summit1750233693
1520,Android App Development,Neuralbits Technologies Private Limited,Actively hiring,"Mumbai,Mumbai(Índia)",₹ 3,"8,000 - 10,000",3,5 days ago,,https://internshala.com/internship/detail/android-app-development-internship-in-mumbai-at-neuralbits-technologies-private-limited1750233643
1521,Web Development,Neuralbits Technologies Private Limited,Actively hiring,Mumbai,,"8,000 - 10,000",3,5 days ago,,https://internshala.com/internship/detail/web-development-internship-in-mumbai-at-neuralbits-technologies-private-limited1750233456
1522,Data Analytics,Collective Artists Network,Actively hiring,Mumbai,,"7,000 - 10,000",6,5 days ago,,https://internshala.com/internship/detail/data-analytics-internship-in-mumbai-at-collective-artists-network1750233415
1523,Sales Consultant,Taimingu OU,Actively hiring,Workfromhome,,,3,5 days ago,,https://internshala.com/internship/detail/work-from-home-sales-consultant-internship-at-taimingu-ou1750233238
1524,Spoken English Teacher,EduCove,,"Chandigarh,Mohali",,"5,000 - 15,000",3,5 days ago,,https://internshala.com/internship/detail/part-time-spoken-english-teacher-internship-in-multiple-locations-at-educove1750233332
1525,Digital Marketing,UNV Digital,Actively hiring,Workfromhome,,"3,000 - 5,000",3,5 days ago,,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-unv-digital1750233245
1526,Investment Banker,Global Startup Summit,Actively hiring,Mumbai,,"9,000 - 11,500",6,5 days ago,,https://internshala.com/internship/detail/investment-banker-internship-in-mumbai-at-global-startup-summit1750233206
1527,Event Management,Global Startup Summit,Actively hiring,Mumbai,₹ 2.5,"7,000 - 9,500",6,5 days ago,,https://internshala.com/internship/detail/event-management-internship-in-mumbai-at-global-startup-summit1750233129
1528,Campus Ambassador,A2Z Assist,,"Chennai,Thiruvananthapuram,Hyderabad,Mumbai,Vijayawada,Bangalore,Vishakhapatnam",,,2,5 days ago,,https://internshala.com/internship/detail/campus-ambassador-programme-at-a2z-assist1750233070
1529,Video Editing/Making,Brandshark,Actively hiring,Workfromhome,,,3,5 days ago,,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-brandshark1750233045
1530,Campus Ambassador,Talk Drill,,Workfromhome,,,,5 days ago,,https://internshala.com/internship/detail/campus-ambassador-programme-at-talk-drill1750233016
1531,Community Builder (Female),Positive Emotions Lab LLP Ltd,Actively hiring,Workfromhome,,"1,001 - 2,000",,5 days ago,,https://internshala.com/internship/detail/work-from-home-part-time-community-builder-female-internship-at-positive-emotions-lab-llp-ltd1750232964
1532,Graphic Design,Artfina,Actively hiring,NaviMumbai,,"7,000 - 12,000",6,5 days ago,,https://internshala.com/internship/detail/graphic-design-internship-in-navi-mumbai-at-artfina1750232791
1533,Business Development (Sales),Tek Inspirations LLC,,Agra,,"5,000 - 8,000",3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-agra-at-tek-inspirations-llc1750232775
1534,Digital Marketing,Imitica,Actively hiring,Delhi,,"3,500 - 5,000",,5 days ago,,https://internshala.com/internship/detail/digital-marketing-internship-in-delhi-at-imitica1750232504
1535,Floor Manager,Automaniac Autotech LLP,,Mohali,,"6,000 - 6,001",6,5 days ago,Be an early applicant,https://internshala.com/internship/detail/floor-manager-internship-in-mohali-at-automaniac-autotech-llp1750232317
1536,Sales and Marketing,Swarama Power Private Limited,,Lucknow,,"11,000 - 52,000",6,5 days ago,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-lucknow-at-swarama-power-private-limited1750231761
1537,Finance & Accounting,Raghav V,,Hyderabad,,"16,000 - 20,000",6,5 days ago,,https://internshala.com/internship/detail/finance-accounting-internship-in-hyderabad-at-raghav-v1750224341
1538,Digital Marketing,Reserve Nature,,Workfromhome,,"6,000 - 7,000",6,5 days ago,,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-reserve-nature1750231407
1539,Administration,Bharti Rakheja,,Delhi,,"5,000 - 10,000",6,5 days ago,,https://internshala.com/internship/detail/administration-internship-in-delhi-at-bharti-rakheja1750231330
1540,Telecalling,Pinkcity Jobs,,Jaipur,,,3,5 days ago,,https://internshala.com/internship/detail/telecalling-internship-in-jaipur-at-pinkcity-jobs1750223730
1541,Content Development - Social Media Platform,Frostrek LLP,,Gurgaon,₹ 5,"10,000 - 35,000",6,5 days ago,,https://internshala.com/internship/detail/content-development-social-media-platform-internship-in-gurgaon-at-frostrek-llp1750230927
1542,Junior Art Director,IndiaPix,Actively hiring,Delhi,,"23,000 - 35,000",3,5 days ago,,https://internshala.com/internship/detail/junior-art-director-internship-in-delhi-at-indiapix1750230861
1543,Fashion Design And Merchandising,Chokhi,,Jaipur,,,2,5 days ago,Be an early applicant,https://internshala.com/internship/detail/fashion-design-and-merchandising-internship-in-jaipur-at-vratika-jain1750230767
1544,Influencer Marketing (Female) (In Office),Rupeezy,Actively hiring,Bangalore,,"15,000 - 20,000",6,5 days ago,,https://internshala.com/internship/detail/influencer-marketing-internship-in-bangalore-at-rupeezy1750230619
1545,Project Management,YHSG,,Jabalpur,,,,5 days ago,Be an early applicant,https://internshala.com/internship/detail/project-management-internship-in-jabalpur-at-yhsg1750223178
1546,Content and Social Media Marketing,SkyBiz Media,Actively hiring,Workfromhome,,"9,000 - 14,500",3,5 days ago,,https://internshala.com/internship/detail/work-from-home-content-and-social-media-marketing-internship-at-skybiz-media1750230424
1547,Agri Business Management Internship,The Affordable Organic Store,Actively hiring,"Hyderabad,Balanagar",,,6,5 days ago,,https://internshala.com/internship/detail/agri-business-management-internship-internship-in-multiple-locations-at-the-affordable-organic-store1750230017
1548,Talent Acquisition,Yangpoo Executive Education,Actively hiring,"NaviMumbai,Mumbai",,"5,000 - 8,000",3,5 days ago,,https://internshala.com/internship/detail/talent-acquisition-internship-in-multiple-locations-at-yangpoo-executive-education1750229988
1549,Business Development (Sales),Zetawiz Technologies,,Indore,,"3,000 - 5,000",3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-indore-at-zetawiz-technologies1750229766
1550,Content,Astrotalk,Actively hiring,Noida,,"15,000 - 20,000",3,5 days ago,,https://internshala.com/internship/detail/content-internship-in-noida-at-astrotalk1750229649
1551,Marketing And Sales,Abaxial Bottled Water Manufacturers LLP,,Pune,,,2,5 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-marketing-and-sales-internship-in-pune-at-abaxial-bottled-water-manufacturers-llp1750229526
1552,Telecalling,FTS Services.ltd,Actively hiring,Kanpur,,,3,5 days ago,,https://internshala.com/internship/detail/telecalling-internship-in-kanpur-at-fts-servicesltd1750229447
1553,Sales and Marketing,Trivara Infraventures Private Ltd,,Bhubaneswar,,,3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/sales-and-marketing-internship-in-bhubaneswar-at-trivara-infraventures-pvt-ltd1750229399
1554,Graphic Design,Orufy Technologies Private Limited,Actively hiring,Jaipur,,"5,000 - 10,000",6,5 days ago,,https://internshala.com/internship/detail/graphic-design-internship-in-jaipur-at-orufy-technologies-private-limited1750229338
1555,Content and Social Media Marketing,2070Health,,"Delhi,Gurgaon,Noida",,"10,000 - 15,000",3,5 days ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-multiple-locations-at-2070health1750229266
1556,Sales and Marketing,Adorn Crafts,,Faridabad,,"15,000 - 30,000",3,5 days ago,,https://internshala.com/internship/detail/sales-and-marketing-internship-in-faridabad-at-adorn-crafts1750229171
1557,Cinematography,Brandshark,Actively hiring,Bangalore,,,3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/cinematography-internship-in-bangalore-at-brandshark1750229151
1558,Video Editing/Making,LOQO AI,Actively hiring,Workfromhome,,,2,5 days ago,,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-loqo-ai1750229125
1559,Digital Marketing,Bytebillion Technologies,,Indore,,,3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/digital-marketing-internship-in-indore-at-bytebillion-technologies-pvt-ltd1750229087
1560,Content Development (English),Uolo Edtech,Actively hiring,Gurgaon,,,3,5 days ago,,https://internshala.com/internship/detail/content-development-english-internship-in-gurgaon-at-uolo-edtech1750229055
1561,Product Development – Embedded & Electronics,Atonate Technologies Private Limited,,Mumbai,,"10,001 - 18,000",2,5 days ago,,https://internshala.com/internship/detail/product-development--embedded-electronics-internship-in-mumbai-at-atonate-technologies-private-limited1750228871
1562,Influencer Marketing,Olympia Industries Limited,,Mumbai,,"10,000 - 10,001",6,5 days ago,,https://internshala.com/internship/detail/influencer-marketing-internship-in-mumbai-at-olympia-industries-limited1750221526
1563,Content Writing,Fame Keeda Networks Private Limited,,NaviMumbai,,"5,000 - 6,000",3,5 days ago,,https://internshala.com/internship/detail/content-writing-internship-in-navi-mumbai-at-fame-keeda-networks-private-limited1750228604
1564,Business Development (Sales),4 Way Technologies,,"Faridabad,Gurgaon,Noida,Delhi",₹ 3.5,"15,000 - 20,000",6,5 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-4-way-technologies1750228402
1565,UI/UX Design,Nicola Tech,Actively hiring,Gurgaon,₹ 9,"33,000 - 55,000",6,5 days ago,,https://internshala.com/internship/detail/ui-ux-design-internship-in-gurgaon-at-nicola-tech1750228389
1566,Growth & Marketing,Profitonium Apps,,Bangalore,₹ 8,"25,000 - 40,000",3,5 days ago,,https://internshala.com/internship/detail/growth-marketing-internship-in-bangalore-at-profitonium-apps1750228263
1567,Field Sales,Kikumove Technology Private Limited,,Bangalore,,"20,000 - 40,000",,5 days ago,Be an early applicant,https://internshala.com/internship/detail/field-sales-internship-in-bangalore-at-kikumove-technology-private-limited1750228110
1568,Marketing,Groom India Salon And Spa Private Limited,,Chennai,,"5,000 - 10,000",3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/marketing-internship-in-chennai-at-groom-india-salon-and-spa-private-limited1750228030
1569,Business Development (Sales),Ment Tech,,Indore,,"4,000 - 35,000",3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/business-development-sales-internship-in-indore-at-riyaraje-khanvilkar1750227968
1570,Sales and Marketing,Niwish.com (Digi Smart Assets Private Limited),,Mumbai,,"5,000 - 8,000",3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/sales-and-marketing-internship-in-mumbai-at-niwishcom-digi-smart-assets-private-limited1750227685
1571,Operations,Indelox Services Pvt Ltd,,Bangalore,,"10,000 - 15,000",6,5 days ago,,https://internshala.com/internship/detail/operations-internship-in-bangalore-at-indelox-services-pvt-ltd1750227499
1572,Chartered Accountancy (CA),Bitsquare Technologies,,Workfromhome,,,,5 days ago,Be an early applicant,https://internshala.com/internship/detail/work-from-home-chartered-accountancy-ca-internship-at-bitsquare-technologies1750227494
1573,Computational Physics/Chemistry/Materials Science,Bhabha Atomic Research Centre (BARC),,Mumbai,,,4,5 days ago,,https://internshala.com/internship/detail/part-time-computational-physics-chemistry-materials-science-internship-in-mumbai-at-bhabha-atomic-research-centre-barc1750227368
1574,Motion Graphics,Volmint Technologies Pvt Ltd,,Delhi,,"8,000 - 12,000",6,5 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-motion-graphics-internship-in-delhi-at-volmint-technologies-pvt-ltd1750227250
1575,Content and Social Media Marketing,The Creative Quarters,,Mumbai,,"3,000 - 8,000",3,5 days ago,,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-mumbai-at-the-creative-quarters1750227085
1576,Entrepreneur In Residense,Monkhub,Actively hiring,Gurgaon,,,6,5 days ago,,https://internshala.com/internship/detail/entrepreneur-in-residense-internship-in-gurgaon-at-monkhub1750227042
